text,weak_label,confidence,rule_triggered
网络销售专员 +五险一金+13薪。【职责要求】： <br />１、根据公司提供的用户资源，为用户提供服务 <br />２、向用户推荐公司软件产品、讲解产品功能、特性。 <br />3、大专及以上学历（有销售经验者可适当放宽） <br />4、普通话流利，有一定的沟通、表达能力 <br />5、有无工作经验均可 <br />【福利待遇】 <br />大专5770+提成 <br />本科6270+提成 <br />1000元证券从业资格补贴/月 <br />500元投顾资格补贴/月 <br />100元基金从业资格补贴/月 <br />浮动部分：提成6-9个点， <br />其他福利：五险一金+十三薪+带薪年假+福利年假+国内外旅游+节假日福利+不定期抽奖+不定期下午茶。 <br />【上班时间】 <br />周一到周五 早九晚六,0,0.758,reject_pure_finance
高企申报老师。岗位要求：1、25-40岁，本科及以上学历，从事企业科技项目申报工作一年以上经验，能独立完成高企项目材料撰写和高企项目申报。2、具有良好的文字功底，思维慎密，逻辑清晰。3、具有良好的沟通交流和谈判能力，能应对一般性质的工作谈判与沟通。岗位职责：1、负责撰写各类政府项目（如高新技术企业、高新技术产品、科技计划项目等等）申报材料，实际服务客户。2、负责收集调研各类项目实操政策信息，与各级政府相关部门衔...,215,0.8369,similarity
"汽车美容装饰。负责汽车玻璃贴膜， 车身改色膜 ,导航,音响, 行车记录仪等的安装，协助，等一系列工作具有较强的责任心和耐心，身体健康，工作积极主动，勤奋好学，能吃苦耐劳。",136,0.861,similarity
算法工程师。岗位职责： 1.方向一：负责微地震震源定位算法开发及优化，深度学习相关算法开发。 2.方向二：负责微地震震源机制算法算法开发及微地震分析相关工作。 3.进行学术论文编写及发表，日常科研及开发相关文档的编写。 岗位要求： 1.硕士及以上学历。 （地球物理学相关专业，天然地震相关方向最佳。 数学、计算机相关专业亦可，研究方向为深度学习相关。 采矿工程、矿业工程、安全工程相关专业亦可，研究方向为冲击地压...,0,0.7951,reject_mining
物流场地规划工程师。岗位职责：1.负责场地设计工作（包括场地评估场地、需求和数据分析、场地工艺设计;设备招标资料的撰写）；2.小型场地工艺设计方案审核；3.负责提供场地跟建筑有关的周边设备的需求设计（如封闭式管理、监控、风扇、广播、LED显示屏等工建相关布置）；4.与乙方对接场地改造事宜；任职要求：1.专科或以上学历，物流类、机械类等相关专业，2年以上物流设备研发设计或布局规划相关工作经验，英语良好；2.较强的总结、...,125,0.8996,similarity
汽车美容。有耐心能吃苦耐劳 有无经验均可，本店设备都是德国卡赫品牌洗车机，大友的泡沫配比机，药液丰富，工具齐全，抛光机为德国felx的抛光机，手感非常好,136,0.8306,similarity
技术管理（薪资面试+周末双休）。人员要求： 1.3-5年现场支持经验，有跨国公司工作经验者优先。 2.优秀的英语听、说、读、写能力。 3.优秀的跨团队沟通和协作能力，解决问题的能力。 4.优秀的沟通、培训能力。 5.优秀的团队管理能力，能带领团队高效完成既定目标。 6.熟悉O365，活动目录，SCCM，MDM等。 7.熟悉ITSM工具，如立即维修，补救等。 8.ITIL，PMP为佳。 工作职责 1.现场服务范围，提供现场IT支持...,215,0.8053,similarity
国际物流仓库操作员打包员包住。<p>本岗位上班地址：东莞市德沃国际货运代理有限公司(广东省东莞市凤岗镇雁田村布垅工业三路11号2号楼103室)</p> <p>招聘三个岗位：操作员、操作主管、仓库安检员</p> <p>一、操作员岗位职责：按国家分开打包货物，装车与卸货。</p> <p>二、任职资格：</p> <p>1.工作细心效率高，吃苦耐劳，服从安排。</p> <p>2.年龄22-45岁，不限制行业经验，有跨境物流，跨国际物流，货运代理相关行业工作经验优先。</p> <p>3.操作员不限学历，有一年以上相关工作经验；操作主管中专学历，有三年以上相关管理工作经验。</p> <p><br /></p> <p>仓库安检员岗位职责：</p> <p>1&nbsp;、遵守各项法律法规和安检各项规章制度，服从各级领导管理，对违反法律法规或安检规章制度的现象应与拒绝并及时向上级报告。</p> <p>2&nbsp;、认真履行岗位职责，严格遵守工作纪律，不擅离职守，不做与工作无关的事情。&nbsp;3&nbsp;、按规定着装上岗，佩戴标示规范，自觉维护安检人员岗位形象。</p> <p>4&nbsp;、熟练掌握各种安检设备的操作及识别方法。</p> <p>5&nbsp;、按照“逢包必检”的安检要求，负责宣传引导人员进入安检区域。</p> <p>6&nbsp;、对可疑物品进行针对性探测，确定可疑物品性质，及时移交现场民警处理并做好记录。&nbsp;7、文明值岗，态度和蔼，遇事讲究方式方法，做到以理服人。</p> <p><br /></p> <p>工作时间：早班：9-12点&nbsp;13-18点</p> <p>中班：13:30-18点&nbsp;19-22:30点</p> <p>晚班：15-18点&nbsp;19-12点</p> <p>单休，每周日休息，能接受晚班的优先</p> <p>三、福利待遇：</p> <p>1.购买社保；</p> <p>2.享受国家法定节假日。</p> <p>3.平常加班和周六日加班20元/小时。法定节假日加班40元/小时，加班补助，夜班超过11点后有餐补，补贴20元/天。</p> <p>4.包住扣水电，年底旅游。</p> <p>5.保底工资：4500元，综合工资：6000-10000元。</p>,125,0.7224,similarity
汽车美容。1、上班前把工作场地打扫干净，调试机器、泡沫充足、工具到位、做好当天迎接车子到来工作。2、清洗及打扫车辆内外部，驾驶车辆到指派的停车区域，负责维护清洗设备及所需供给和消耗品清单。3、有驾驶证优先考虑。,136,0.8486,similarity
汽车保险理赔专员。岗位职责：1、负责完成保险车辆的理赔任务；2、负责一站式办理客户保险车辆出险、定损、理赔等事宜；3、负责按照公司的保险出险服务流程和规定进行客户服务工作；4、负责进行保险责任的认定，对事故车辆的状况进行评估；5、负责审核相关理赔材料，核定保险公司是否应当给予赔付；6、负责并对车辆的损失程度进行审定，对赔付金额进行核算。 任职要求：1、大专以上学历；2、4S店保险服务顾问岗位3年以上经验；3、熟练掌...,132,0.917,similarity
生产后处理车间主管。岗位职责：1、负责后处理车间生产与管理；2、对车间成员进行生产操作工艺、质量控制方面的辅助培训，并使其获得相应技能；3、指导并检查操作人员的工作，确保操作人员按照工艺流程进行操作；4、根据生产计划安排生产，按时完成产量指标；5、对设备、工装进行基本的调整，对设备进行常规维护，使设备处于良好的工作状态；6、服从生产经理的工作安排，认真完成上级领导安排的工作任务。任职资格：1、学历：大专 年龄：30-...,27,0.8879,similarity
汽车美容师 包吃住 到手7k以上。负责抛光打蜡镀晶镀膜等美容项目无经验可带薪培训 有经验的老师傅也招聘 薪资可面谈早十晚八 中间有休息时间 工作不超八小时 月休四天提供饭补 包住宿,136,0.739,similarity
四线（服装打边）。岗位职责：1、按照生产通知单及样衣、纸样要求进行正确打边；2、熟悉、掌握缝纫设备性能、使用方法；3、日常保养清洁设备，若出现异常，立即报备车间组长。任职要求：1、熟练使用缝纫设备者优先；2、具有服装行业相同岗位工作经验1年以上者；3、工作认真负责，服从安排。,0,0.7699,reject_textile
汽车美容技师。岗位职责： 1. 负责车辆清洗及美容施工（内饰清洗、抛光、打蜡、普洗等）； 2. 负责对美容施工所需设备的保管及保养； 3. 负责工位的5S管理； 4. 配合、帮助其他员工完成相关工作； 5. 完成上级领导安排的其他工作； 经验要求： 1. 有汽车清洗、美容工作经验者优先考虑； 2. 持有C级驾驶执照一年以上，驾驶熟练者优先考虑； 3. 身体健康，工作细致、认真、勤快，有一定的团队协作和服务意识；...,136,0.8974,similarity
T-BOX主任工程师。工作职责:1、 TBOX，GPS天线，支架等产品设计开发；2、 维护管理对接平台监控数据开发；3、 维护管理整车OTA备案数据；4、 开发过程相关的报告和文档撰写。5、 负责2D，3D数据制作；6、完成零部件开发认可；任职要求：1、学历及专业：本科及以上学历2、工作方向：T-BOX开发3、工作经验：5年及以上T-BOX独立开发经验，汽车主机厂或零部件公司工作经验任职要求：熟悉汽车开发流程；4、其他...,148,0.8849,similarity
云平台设计岗。岗位职责： 1.负责云平台及云原生总体架构设计、云平台开发、部署实施、应用迁移和运营管理等工作，负责云计算项目的技术论证和建设实施。2.负责云平台IaaS、PaaS架构设计、资源规划与日常运营管理。3.负责推动DevOps、CI/CD、Hadoop等技术的应用。4.负责跟踪云计算的技术发展，开展云技术验证。5.完成领导交办的其他工作。 任职要求： 1.计算机相关专业； 2.熟悉Linux等主流操作...,150,0.9063,similarity
操作工（唐山南堡开发区）。岗位职责： 1、按照领导要求，按时按量完成生产任务，完成当日当月生产任务； 2、按工艺要求进行生产操作； 3、服从领导安排，完成本岗以外的技术学习任务； 4、完成领导交办的临时工作。 任职资格： 1、18周岁以上，高中以上学历； 2、1年以上生产制造型企业工作经验； 3、吃苦耐劳，有责任心；4、有叉车证，会开叉车。职位福利：五险一金、年底双薪、包吃包住、周末双休,27,0.8114,similarity
汽车美容技师。现招聘汽车美容技师/等数名，待遇优厚！诚聘英才！岗位：汽车美容技师/（4000-8000元，1-2名）注：汽车清洗/抛光打蜡/清洗发动机和内室/封轴/精细镀膜镀晶等经验工作内容：1.负责汽车清洗，抛光打蜡，清洗发动机，清洗内室，封轴，精细镀膜等美容项目的施工。2.负责对美容施工所需的设备保管及保养。职位要求：1.有行业汽车抛光美容经验，3.工作细致认真，有较强的服务意识，沟通能力强，有责任心，能吃...,136,0.8493,similarity
洗车美容技师。工作内容：洗车、汽车美容职位要求：1、熟练掌握初级汽车美容技师各项项技能；2、熟练掌握黑色汽车漆面各项美容服务项目作业的标准施工流程，超时在30分钟以内；3、熟练掌握汽车全车玻璃抛光护理；4、熟练掌握汽车全车灯光抛光护理；5、学习掌握车身漆面深度划痕、创伤的修复及漆面处理；6、学习掌握能消除车身漆面局部喷涂后造成的新旧漆色差以及漆面修复过程中留下的桔皮、垂流、砂点等缺陷；7、学习掌握汽车底盘表面喷...,136,0.871,similarity
轻松米线后厨。岗位职责：1.传达店长相关通知.注意事项等；2.为高峰期配好所需的食材.保证食材的新鲜.卫生等3.负责后厨配餐出餐工作。4.负责工作区域的卫生清理.任职资格：1.身份健康，做事迅速；2.具有责任心，良好的执行能力和沟通能力，能够严格按照标准操作；3.勤奋努力，对餐饮工作有较高的工作热情。,0,0.7642,reject_food_service
芒果销冠门店诚聘房产经纪人！底薪4k➕高提点。如果你正在找工作 请仔细耐心看完 这是一条专门为想改变现状想赚的多一点的伙伴所发的招聘信信息所以我在这里说的是 无论你是怎样的原因离开。现在赚钱的机会来了 改变自己的机会来了芒果不动产沈阳最大房产公司 线下门店2000多家 资源可以的得到保证上班时间早8.30晚6工作内容：在店里吹空调跟客户聊天给客户找房子 带客户看房 促成交易。当天开单当天提钱店里氛围特别好 年轻人居多00后90后没有那种社会气...,0,0.6622,reject_real_estate
汽车美容技师。洗车 抛光打蜡 镀晶镀膜 包住定期团建 系统培训 销售经验 汽修技能负责抛光打蜡、清洗发动机，清洗内室、封釉、精细镀膜等美容项目的施工,136,0.9063,similarity
汽车窗膜美容技师。1，有汽车太阳膜（玻璃膜）贴装经验，能独立完成各品牌汽车贴膜施工工作，可以解决施工中的各类问题，对施工车辆按照规定完成自检，保证施工合格率。2，会汽车美容项目，能独立完成施工项目。工作地点在4S店，环境舒适，冬暖夏凉。施工人员每季度进行星级评定，结合星级评定结果每季度调薪，只要你足够努力，公司提供良好的发展及晋升机制。职位福利：包住、弹性工作、大牛带队、多次晋升机会、转岗/轮岗机会、年轻化团队、团...,136,0.877,similarity
信息安全工程师。工作职责与任务：1、负责建立公司的信息安全体系。确保公司的信息安全系统有效运行。2、推进各部门的信息安全工作。协助各部门建立信息安全的制度和流程。3、开展信息安全相关的监管报送\内控自评估\信息安全风险自查等工作。4、开展信息安全风险防范相关培训工作，推动员工信息安全意识水平不断提升。5、根据内外部信息安全审计工作的要求，编写或收集整理相关文字材料，监督推动审计问题的整改落实。6、按月公司召开信息...,66,0.8918,similarity
车物查勘定损岗。岗位职责1.现场查勘收集现场信息，指导客户填写并收集索赔材料，明确保险责任；2.车辆维修方案及损失确定；3.及时主动协助客户处理事故善后；4.疑难案件调查取证。,132,0.8795,similarity
汽车美容师。岗位职责： 1.负责车辆清洁、美容（抛光、打蜡、镀晶等）、改装（贴太阳膜、改色膜、漆面保护膜及内饰等）施工工艺、洗车，保证车辆服务质量。 2.与技术主管一同参与施工标准的编制及推广 3.负责施工现场的5S管理维护及工具设备的维护，保持干净、整洁、规范有序的车间施工环境 4.如客户有需求，可以向客户展示标准的施工工艺过程，并提出专业的施工建议 任职要求： 1.中专及以上学历，汽车售后维保养护、车辆工...,136,0.8969,similarity
打板技师（格拉默乘用车座椅新工厂）。工作职责 负责护面样板开发 遵守公司的安全规定，个人劳保用品佩戴齐全，严格执行公司安全、环境相关的制度。 完成领导交办的其他任务; 知识技能/KSA 熟悉缝纫工艺，装配工艺，办公软件和CAD软件等。 样板制作3年以上经验 具有良好的沟通技巧和团队合作精神。 样板制作3年以上经验 具有良好的沟通技巧和团队合作精神。,0,0.8233,reject_textile
汽车美容【整备】。岗位要求：1、年龄35岁及以下，身体健康；2、初中及以上学历，有良好的执行力和通能力；3、有汽车抛光美容经验，有车辆PDI/整备经验优先；4、需持有车辆驾驶证且驾驶技术通过甲方考核。岗位职责：1. 负责车辆交付前表面微瑕疵抛光打蜡，清洗发动机，精洗内饰等项目的施工2。领导安排的其他事情。上班时间：早九晚六 上五休二薪资：综合底薪4000+加班工资+餐补，综合薪资5000-6000,136,0.8593,similarity
汽车美容。汽车精洗工汽美学员精洗、漆面养护、内饰软包…等日常项目做事认真负责、有良好的沟通能力，有上进心有驾照者优先…【年轻团队，活力四射，未来可期】,136,0.8663,similarity
汽车美容、整备。汽车美容岗位要求：1、年龄35岁及以下，身体健康；2、初中及以上学历，有良好的执行力和通能力；3、有汽车抛光美容经验，有车辆PDI/整备经验优先；4、需持有车辆驾驶证且驾驶技术通过甲方考核。岗位职责：1. 负责车辆交付前表面微瑕疵抛光打蜡，清洗发动机，精洗内饰等项目的施工2。领导安排的其他事情。上班时间：早九晚六 上五休二,136,0.8507,similarity
设备保全维修。负责缝纫机维修； 负责所属设备的维修、保养及日常管理，及时排除设备故障，保证生产顺利进行； 负责跟进设备的技术改造；日常表单的填写； 完成领导交办的其他工作。会操作电脑整理表单,0,0.8182,reject_textile
水利水电、市政预算员。1、具备独立识图算量能力，准确及时的编制好施工图（施工）概预算，工程量计算准确及编制清单套用定额不丢项不缺项；2、编制工程项目的变更签证及竣工结算并完成审计对接；3、参与工程分包、物资和机械考察询价，招标，编制招标控制价、采购文件等；4、负责辅助商务经理进行项目的成本测算工作，及时对人材机消耗量进行预算量与实际的对比，发现问题查找原因并予以解决；5、协助审核图纸、方案、合同条款，做好二次经营策划和...,125,0.8278,similarity
云计算架构师。具体职责包括但不限于: 1、支持客户的云转型，包括为他们在AWS、Azure、谷歌云平台(GCP)和阿里云的运营提供建议，解决他们在安全方面的需求，并与隐私团队紧密合作，以支持云中的合规; 2、分析与云解决方案相关的具体风险，并建议客户如何降低风险; 3、支持客户定义云应用的安全需求，如:SaaS软件或平台(如Office 365等)，基于云应用的设计和开发，在云中使用DevOps，云管理服务，如...,150,0.8765,similarity
汽车美容。岗位职责 1、独立完成车辆美容项目，抛光，打蜡，精洗，镀膜，熟悉加装装潢附件； 2、性格开朗活泼，具有亲和力； 3、有产品主动销售意识； 4、服从车间主管工作安排，保质保量完成工作任务。 任职资格 1、中专以上汽修相关专业； 2、1年以上汽车保养经验； 3、身体健康，能吃苦耐劳。,136,0.8942,similarity
运维工程师 转 销售专员+底薪8000+就近安排。“一生一世只做一世，专心致志做到极致” 1、成为麦田房产经纪人的条件： 1）年满21岁及以上； 2）大专及以上学历； 3）有意愿从事房产经纪业，符合麦田文化。 2、工作内容： 1）负责房源信息维护推广，打造个人顾问式职业品牌形象； 2）为客户提供有温度的顾问式带看体验； 3）促成买卖双方交易达成，交易过程为客户提供专业的权属转移服务。 3、我们能提供： 1）努力决定收入：本科：无责底薪8000元+...,0,0.775,reject_real_estate
汽车美容技师。岗位职责：1、负责汽车内饰的清洗、抛光打蜡、机舱清洗、室内杀菌等工作；2、负责对车辆抛光、打蜡、镀晶、镀膜、贴膜等工作；3、负责对美容施工所需设备的保管及保养；4、完成领导交办的其他工作。任职要求：1、有4S店汽车美容经验2年以上；2、有一定的学习的能力；3、有较高的工作效率；4、工作质量较高。职位福利：包吃、包住、交通补助、通讯补助、绩效奖金、带薪年假、员工旅游,136,0.8862,similarity
信息安全工程师。工作职责1.跟踪国家监管要求及股东要求，建立并持续完善公司信息安全管理体系2.跟踪、分析国家信息安全相关法律法规和监管动态，建立信息安全合规管理方案并推动落地3.推动信息安全管理体系运营，风险评估，开展体系审核，确保体系有效运转，并持续改进4.推动公司IT系统安全能力提升，设计安全要求，开展赋能、评审和测试活动5.负责信息安全技术体系规划、实施和维护，支撑公司信息安全体系落地，包括终端、网络、应用...,66,0.8664,similarity
鱼化寨地铁口 高芯悦澜 招聘置业顾问。项目介绍：开发商陕西天基置业，项目总货量1500套，2022年11月已首开，目前平销期，面积区间125㎡、143㎡、178㎡，平均成交单价2万+，月度成交60-70套。2023年推货16亿，联代案场，渠道合作贝壳。项目优势交通便利，地铁口，距离地铁三号线步行1分钟 岗位概述： 1、 熟练掌握楼盘销售全流程。 2、 进行目标区域市场调研，挖掘潜在客户资源。 3、 严格按照公司制定的销售流程，对来电，...,0,0.6802,reject_real_estate
