text,weak_label,confidence,rule_triggered
无责6K招销售小白也可。贞一房产，专做房屋租赁业务，资源共享，让你开单无烦恼。 岗位职责： 1、负责客户的接待、咨询工作，为客户提供专业的房地产置业咨询服务； 2、陪同客户看房，促成房屋租赁业务； 3、负责公司房源开发与积累，并与业主建立良好的业务协作关系。 任职资格： 1、年龄在20—30周岁，高中以上学历； 2、诚实守信，吃苦耐劳，具有良好的团队精神； 3、能承受较强的工作压力，愿意挑战高薪； 4、普通话流利； 5、有相关经验者优先。,119,0.889,similarity
软件测试工程师。岗位职责： 1.负责camera的影像调试，调试出符合产品需求的图像效果； 2.负责camera开发过程中对图像质量测试，满足客户要求； 任职资格： 1.只接受软件专业学生转行；26年毕业生。 2.审美良好，对色彩和图像敏感；无色盲和色弱；有摄影爱好优先考虑； 3.大专以上学历；可接受图像调试的工作内容（硬性要求)。 福利待遇：日常零食+周四下午茶，每年省内旅游+定期体检+不定期聚餐，年终奖+节日福利/带薪年假/正常放休。（每个月首周六需出勤，其他周末双休）,27,0.8584,similarity
销售经理。岗位职责： 1.负责大疆无人机“行业应用机型”在全行业领域的应用市场开拓、政企客户营销； 2.深挖客户需求，结合公司在技术领域的资源，构建出能解决特定场景问题的专业集成解决方案。 任职要求： 1.大专及以上学历（有无人机相关经验、特定客户资源者不受此限）； 2.两年以上政企客户开发经验，能独立开发政企类新客户； 3.学习能力强，能快速掌握无人机相关专业知识； 4.有政府机构、电力、石油、公安、环保、水利、建筑、消防、测绘、物业、安保等行业客户资源或从业经验者优先； 5.对无人机有所了解、有所爱好者优先。,156,0.9137,similarity
高级软件开发工程师。高级软件开发工程师（数字出版与AI应用方向） 岗位职责： 1. 负责电子书阅读器应用程序的开发与优化，覆盖桌面端（Windows/MacOS）、移动端（iOS/Android）以及微信小程序平台。 2. 承担电子书网站相关系统的前后端开发工作，包括但不限于一站式搜索引擎、内容管理系统（CMS）、数字出版流程工具等，确保系统的高效性与稳定性。 3. 搭建高可用、可扩展的RESTful API及微服务架构，实现多端数据的无缝交互与同步。 4. 探索并实践AI技术（如LLM大模型）与阅读场景的深度融合，参与AI应用开发，包括提示词工程优化、RAG检索增强生成、模型微调（Fine-tune）等工作。 5. 负责技术文档的编写与维护，参与跨部门协作，推动技术方案的高效落地。 6. 完成上级交办的其他工作任务。 任职要求： 1. 教育与工作背景：本科及以上学历，计算机科学与技术、软件工程等相关专业。3年以上相关工作经历。 2. 专业知识与技能： o 深入理解内容管理系统（CMS）架构，具备出版行业系统（如排版工具、发布流程、版权管理）的开发经验。 o 5年以上相关工作经验，具有创业公司技术负责人经历或创业经历者优先。 o 精通至少一种前端开发框架（React、Vue、Angular），以及至少一种后端开发语言（Python、Node.js、Java）；熟练掌握至少一种后端框架（如Spring Boot），能够构建高性能、可扩展的应用程序。 o 熟练掌握HTML5、CSS3和JavaScript，具备响应式设计及前端性能优化能力。 o 具备Linux操作系统的使用经验，能够进行系统开发与维护。 o 熟悉MySQL、PostgreSQL等关系型数据库的管理与运维工作。 o 具备电子书格式（EPUB、PDF）解析及阅读器渲染优化经验。 o 熟悉云服务平台（如AWS、Azure、阿里云、腾讯云）的使用与实践。 o 具备AI工程化落地经验，熟悉LangChain、LlamaIndex等框架，能够独立完成RAG全流程开发。 o 熟悉机器学习基础算法（如聚类、回归、贝叶斯），了解TensorFlow、PyTorch等深度学习框架。 o 熟练使用Git、Docker等开发工具，以及AWS/Aliyun等云平台运维工具。 o 对OLAP、BI、数据仓库有一定了解，能够基于用户行为数据设计并应用机器学习算法（如聚类、贝叶斯、随机森林）以提升产品性能。 3. 综合素质： o 工作态度认真负责，具备高效执行力 o 乐于学习新知识，善于团队协作 加分项： 1. 具备良好的英语读写能力，能够进行英文沟通者优先。 2. 熟悉学术出版领域标准（如DOI系统），了解期刊投稿与审稿流程。 3. 有开源项目贡献经历，或作为技术博客作者分享过技术经验。 4. 具有海外留学背景或外企工作经验。 5. 独立开发过任何APP项目。 我们期待您的加入，共同推动数字出版与AI技术的创新与发展！,169,1.0,similarity
高中理科新教师（免费培训，8-12k，周休2天。不限教资，可接受应届和小白，有免费岗前培训~ 招聘科目： 高中：数学、物理、化学、生物 初中：数学、物理 一、薪酬福利 1、薪资组成：底薪+课时费+奖金，月均8-12k 2、五险一金； 3、子女免费上课； 4、节假日福利； 5、每年调增课费，每半年一次竞聘晋升机会。 二、任职要求： 1、统招本科及以上，不限专业，不限教资；有相关教学经验； 2、普通话标准，具有优秀的沟通能力和团队协作能力； 3、抗...,126,0.7651,similarity
房产销售专员。职位概述： 房产销售专员负责销售公司的房产产品，通过与客户的积极互动，实现销售目标。该岗位需要有活力，良好的沟通技巧和销售经验。 岗位职责： 1.&nbsp;开发新客户，维护老客户，完成销售目标。 2.&nbsp;了解市场动态，提供市场信息和分析报告。 3.&nbsp;定期与客户进行沟通，建立和维护良好的客户关系。 4.&nbsp;参与销售会议，提供销售报告和销售预测。 5.&nbsp;配合公司其他部门，完成相关任务和项目。 岗位要求： 1.&nbsp;学历背景：高中或以上学历，专业不限。 2.&nbsp;工作经验：有房产销售经验者优先。 3.&nbsp;技能要求：优秀的沟通技巧，出色的谈判能力，良好的客户服务意识。 4.&nbsp;态度特征：积极进取，乐观开朗，高度的责任心和团队合作精神。 5.&nbsp;其他特性：能够在快节奏的环境中工作，能够适应灵活的工作时间。 任职资格： 1.&nbsp;年龄30岁以下。 2.&nbsp;具有强烈的销售欲望和良好的人际交往能力。 3.&nbsp;出色的组织和时间管理技能。 4.&nbsp;能够适应高压力的工作环境。 补充说明： 作为房产销售专员，您将有机会获得丰厚的销售提成和广阔的职业发展空间。我们鼓励有才华和热情的员工加入我们的团队。 岗位JD中的关键部分包括对职位的概述、岗位职责、岗位要求、任职资格以及补充说明等部分。这些部分为招聘者提供了全面而详细的信息，有助于他们了解该职位的性质和要求。同时，岗位JD中强调了积极进取、乐观开朗、高度的责任心和团队合作精神等态度特征，这有助于吸引那些符合这些特质的求职者。,119,0.8805,similarity
航材集件计划员/集配管理员。岗位要求：1.专科及以上学历，本科英语CET-4，专科英语A级/三级；2.熟悉民航航材管理流程，熟悉航材管理相关法规；3.有发动机维修集件工作经历优先。岗位职责：1.根据外委、修理、采购、库房和商务提供的更新信息的情况，建立和优化每台发动机的集件计划。2.保持更新并及时与生产计划沟通，列出每台发动机必须控制的“关键件”。3.协同外委、采购、运输、进厂检验，控制关键件在公司从运出到接收的流程，以按时...,42,0.8692,similarity
急招普工/操作工 月入7000（四人间 包住）。中创新航招聘岗位：操作工，质检，机修等招聘要求：18-35周岁，男女不限，初中以上学历，需会26英文字母！懂基本电脑操作，无明显纹身，无案底薪资待遇：综合薪资6000-7000 左右。底薪 2500+加班费（平常1.5倍，周末2倍，节假日3倍）+餐补450+绩效 年底13薪主要生产锂电池，工作轻松愉快，管理超级人性化，需穿轻薄无尘衣，有座有站。上班时间；8点半-20点半两班倒 中午跟晚上各休息一个...,130,0.7873,similarity
计量员。主要配合完成： 计量校准（长度、力学、热电等相关生产线设备、仪器的试验室计量检定工作等）； 现场仪器计量协同（按照检定计划进行下厂计量服务，协助计量工程师完成参数计量；协同武汉、襄阳计量分场所完成临时性的计量工作）； 第三方计量机构设备计仪器送取； 计量报告（委外溯源咨询协调、证书打印及发放）； 其它计量辅助工作。 任职要求 1、 有检定员证或注册计量师证/有一定计量基础； 2、 较强的学习能力，能熟练掌握仪器设备计量校准方法，能独立完成常规汽车生产线仪器、设备计量检定工作； 3、 身体状况良好，适合短期出差（每月1-2次），现场计量工作负重等能力 4、 具有较强的责任意识，团队合作的能力； 有C1本，能够独立、熟练驾驶车辆下厂服务,153,0.8462,similarity
4s店市场经理（福特纵横品牌）。岗位职责:1.配合总部提供的用户调研报告进行区域化分析以及市场行为调整。2.门店潜客开发，协助完成集客目标。3.传达、评估、监督并确保市场策略准确落地执行4.配合区域制定全年活动计划并完成相应 KPI。5.本地市场开发项目方案制定、提报、执行与跟进6.门店相关市场费用预算规划及月度管理、核销。7.其他职责:根据业务需求，完成分配的其他相关职责任职要求:1.大专及以上学历，3年以上相关工作经验，2....,151,0.8611,similarity
无人机飞手。职位要求：经验1-3年，服役五年以上退伍军人，具有CAAC无人机执照一、飞行任务执行：1.根据任务要求，结合作业范围，独立规划安全、合理的飞行航线与任务计划。2.熟练操作各类大小型无人机进行外场飞行作业。3.严格执行飞行前、中、后的检查程序，确保飞行安全。4.实时监控无人机状态及飞行数据，及时应对和处理飞行中的突发情况。二、设备维护与管理：1.负责无人机、镜头、电池、RTK等设备的日常维护、调试和...,2,0.8882,uav_pilot
无人机销售经理。职责描述:1、负责公司无人机相关产品的市场拓展和销售;2、负责客户管理，提供产品解决方案、市场拓展的商务支持;3、负责无人机相关市场项目的应标工作，包括技术应答、商务应答等工作;4、识别、收集、分析客户需求，为产品及研发部门输入市场需求。任职要求：1、航空、电子、计算机或相关专业本科毕业，2年以上工作经验;2、熟悉无人机相关技术，有纵列双旋翼、复合翼无人机无人机巢等销售经验，应急、侦查产品销售经验...,5,0.9284,uav_sales_bd
无人机总体工程师。工作职责：1.负责无人机产品开发的需求和技术论证，能够进行无人机产品的需求捕获、技术要求与指标分解；2.负责无人机产品的总体技术方案设计，具体包括：飞机总体参数设计与布局选型、飞机气动外形设计建模、飞机分离面定义与机载系统布置、飞机重量与平衡设计；3.负责无人机产品设计过程中的技术状态控制、各专业间的技术协调与接口控制；4.配合开展无人机产品研发过程中的地面试验、飞行试验技术牵头与组织。岗位要求：...,36,0.9413,aerodynamics
产品市场经理（汽车/手机/鞋材/无人机/机器人）。岗位职责1、行业调研：负责目标行业调研，输出调研报告并建立行业数据库，支撑项目开发；2、市场分析：针对目标市场分析及客户梳理，明确各目标客户群和产品线对应解决方案，对市场现有的应用规格与辰东的解决方案进行竞争分析和输出，挖掘机会点指导业务开发；3、技术服务：主导核心大客户的技术交流和对接研发落地匹配相关要求，辅助市场营销中心客户开发工作，参与核心重点客户的技术交流，输出交流报告；4、内部培训：内部...,24,0.8886,similarity
国际品牌营销专员（数字营销方向）(J11189)。岗位职责:1、负责海外社交媒体平台（Facebook、Instagram、YouTube、LinkedIn、TikTok）的矩阵建设和日常运营，结合品牌营销节点和国际社会热点话题，进行选题策划、内容创作和社群推广；2、负责海外新媒体平台的短视频营销，把控视频创意策划、脚本撰写、拍摄及后期剪辑工作全流程，挖掘产品卖点和用户利益，产出优质短视频内容；3、面向海外目标市场制定线上广告投放计划，策划广告创...,47,0.7875,similarity
大疆门店店员。【岗位职责】1、负责门店顾客接待与销售转化，结合顾客需求进行产品推荐，完成销售目标；2、为顾客提供产品讲解与演示体验（如无人机、影像设备等），提升客户购买意愿；3、跟进顾客咨询及成交过程，提升转化率及客户满意度；4、负责商品陈列、补货、盘点及基础运营工作，确保门店正常运转；5、参与门店活动执行（如新品推广、体验活动等），提升门店客流及品牌影响力；6、维护门店形象及环境，完成店长安排的其他工作。【任...,179,0.8643,similarity
房产经理人。工作地点：上城、萧山、滨江、拱墅、就近安排（工作环境舒适，工作氛围好） 工作内容：1：负责上门的客户接待、咨询工作，为客户提供专业的房地产相关咨询服务； 2：根据公司和平台现行渠道开发客户与房源； 3：了解客户需求，为客户有效匹配房源，促成一手楼盘销售、二手房买卖、房屋租赁或房产融资交易，并负责跟进和房屋过户手续办理等后续服务工作； 4：维护老客户，并与客户建立良好的业务合作关系。 薪资待遇：1：薪资：入职底薪5000~7000元+高提成（最高50%）+团队奖（行业独有奖项），月平均收入15000～40000元，众多销售人员月收入在20000元-50000元； 2：福利：网络补贴、养老保险、医疗保险、失业保险、工伤保险、生育保险，节假日福利，带薪年休假，婚假、产假、病假。 3：晋升；每2月度滚动晋升机会，快速的成长发展机会，最快入职6个月晋升管理层。 4、资源：依托于贝壳平台，国内经纪平台，杭州1000家以上店面支持和房客源供给， 聚集良好的工作圈、朋友圈，高质人脉公司。 工作时间：08:45——18:30月休四天,0,0.8814,reject_real_estate
东安湖链家高薪诚聘经纪人/店经。招聘岗位：经纪人/店经理 岗位职责： 1.&nbsp;根据客户需求，帮助客户完成房屋买卖和新房以及租赁交易； 2.&nbsp;通过平台工具完成房客源的开发与维护，为客户提供全流程房产交易服务； 岗位要求： 1.&nbsp;无学历和经验限制，对销售感兴趣者优先 2.&nbsp;气质亲和，具有较强的沟通能力，有良好的服务意识； 3.&nbsp;诚实守信，具有较强的团队合作意识，积极乐观，勇于挑战； 4.&nbsp;具有较强的学习能力。 5.年龄20-40周岁 薪资待遇： 1、定级为A0，6个月实习期内本科底薪5500，专科底薪4500 2、定级A2及以上享受保障薪资3000-6000+提成25%-82%（职级越高业绩越高提成越高） 福利待遇： 1.&nbsp;社会福利：五险一金 2.&nbsp;多元化福利：带薪年假、育儿假、姨妈假、女神节、超长春节（10天起）、节日礼物、生日礼物、赢亲情（全国获奖员工荣誉晚宴）、定期团建、精英社获奖员工等季度国内外旅游和学习； 3.&nbsp;链家关爱基金：凡在职员工，员工本人及员工配偶、子女、父母、公婆、岳父母，在遭遇重大疾病、意外、自然灾害等事件时，可向公司基金会申请救助。 培训成长体系：助力职业发展 1.&nbsp;在岗业务培训：如租赁专业训、买卖全级训、新房培训等，旨在为员工在工作角色中的每个阶段，使其快速成长，提升业务能力。 2.&nbsp;在岗晋升培训：在链家，丰富且专业的培训覆盖了职业生涯的每个阶段。针对储备干部及晋升干部，提供干部选拔及培养计划MVP、SVP、商圈经理培训，帮助新任管理者顺利进入新岗位，快速完成角色转变。,119,0.8618,similarity
硬件工程师（高压电源方向）。一、岗位职责1.根据方案进行器件选型、原理图、PCB设计；2.负责单机的生产工作，包括跟产、工艺实施等；3.负责单机的调试、测试和环境试验等工作；4.参加整星电测试，以及相关文档的编写工作。二、任职要求1.电子信息、电气、通信等相关专业，本科及以上学历；2.具有一年以上电子产品硬件设计经验，熟悉至少一种原理图/PCB设计工具；3.善于团队协作，具有较强创新能力。,181,0.9359,similarity
电推进系统总体设计师。岗位职责：1、负责与卫星/空间飞行器总体客户进行总体协调；2、负责电推进系统总体方案论证，系统参数计算，动态特性仿真计算；3、负责电推进系统及部组件试验方案设计和试验数据分析；4、负责与推力器、储供和电源等专业的接口及技术协调；5、负责相关技术文件编写、专业标准制定和产品质量管理。任职要求：1、硕士及以上学历，航空宇航推进理论与工程、工程热物理、流体力学等相关专业；2、2-5年相关工作经验，能力突...,42,0.8953,similarity
"销售经理。1、负责成都市内各类房源和客户的开发和维护,接待与咨询,提供全方位,专业的房地产置业服务；&nbsp; 2、了解客户需求，促成新房、二手房买卖或租赁业务或者写字楼、商铺的租赁买卖等，并负责业务跟进和房屋过户手续办理等后续服务工作。",0,0.8806,reject_real_estate
房产经纪人。你好，我是深圳链家，商圈经理吴海锋，我们主营业务有二手房租赁，二手房买卖，新房买卖，自如，金融五大模块。现在公司一直在拓店，诚招对业务感兴趣，对管理感兴趣的伙伴，主要以90后年轻本科大学生为主。团队小伙伴收入可观。 工资待遇： 1、3~6个月实习期，无责任底薪5000+3000绩效工资。 2、转正即可有底薪6000+40％提成起，最高可达85％ 3、每月工资发放时间为每月15日（遇周末或节假日提前发） 4、实习期员工正常缴纳五险一金 不定期的团队出游，不定期得文体娱乐比赛（羽毛球，篮球，足球，主持人大赛，等）,0,0.8403,reject_real_estate
航空维修质量工程师。岗位职责： 1、各类人员的授权工作；2、维修管理手册和工作程序手册等符合适航规章等要求；3、质量调查等工作；任职要求：1、具有维修人员执照，熟悉民航相关法规规章；2、民航英语2级（含）及以上；3、具有民航维修质量相关工作经验3年及以上；,9,0.8854,airworthiness
保险金融顾问。我们寻找这样的你：喜欢金融理财，渴望高收入；具备良好的沟通表达能力和抗压能力；有销售经验或强烈意愿者优先；诚信正直，积极进取。看到这里的话，简单说两句，公司提供的客户大都是小康水平以及高净值人群，并且在几年前和公司有过业务往来，很轻松就能约访到客户，你在拜访客户与客户的相处过程中，只要懂点人情世故，就没有问题，其实就这么简单，这个过程中的一些约访和拜访技巧到最终成交，手把手指导，如果想先了解一下，...,116,0.8435,similarity
无人机飞手。1、熟悉了解主流品牌和类型无人机的操作； 2、了解无人机的相应法规，掌握航拍的相关技巧3、能独立完成无人机的保养维护；4、善于沟通，亲和力好；5、具备CAAC或其它无人机执照优先。专业不限，机电类、摄影类专业较好，承担无人机操控、维护和拍摄课程。,2,0.8524,uav_pilot
无人机产品经理。岗位职责：1、运用BLM等方法论，进行市场洞察、格局分析，负责产品线的中长期战略规划与年度业务计划（BP）制定，明确产品的竞争策略和发展路径。2、主导产品预算规划，监控产品线核心财务指标，对产品的成本控制与投资回报负责。3、负责产品的定价策略、商业模式设计及盈利模式优化，确保产品商业上的健康与可持续性。4、主导产品路标的制定与优先级决策，与研发、设计团队紧密协作，确保产品高质、高效地开发与迭代。5...,24,0.906,uav_product_pm
航空温控-生产装配。岗位职责： 1. 负责航空集装产品零部件安装生产，依据工艺文件以及图纸等设计资料进行半成品预装、成品总装生产，产品符合质量要求。 2.参与生产异常的反馈，参与异常问题处理。 3.负责生产现场用相关物料/工具的管理。 4. 负责生产区域的安全、消防、整理、清洁工作。 5. 对不安全事件或安全隐患及时上报。 6.完成上级领导安排的其它工作。 任职要求： 背景：大专及以上学历，机械维修或电气相关专业； ...,141,0.892,similarity
航空发动机结构设计工程师。工作内容：1、负责航空发动机结构设计与优化工作；2、负责详细结构方案三维模型与工程图纸设计；3、参与强度设计分析与试验验证；4、对接产品生产制造，解决加工制造中反馈的设计问题；5、编写结构设计相关技术文件。要求：1、具备二维和三维绘图软件的专业绘图能力；2、熟悉发动机结构设计，材料力学、结构力学、空气动力学；3、熟练掌握UG、CAD、Ansys等工程设计软件及各种办公软件；4、具有良好的英语文献资...,113,0.94,similarity
💴高收益，压力小，周末双休//无责底薪//综合金融（保险+销售）。世界五百强平安网格项目：【【25——45岁，大专学历】】工作时间：09:00-18:00午休两小时工作七小时不加班，到点下班，六险一金固定周末双休，法定假日带薪休假薪资: 基础薪资（无责底薪）+入职即享新人津贴(800-10000每月)+激励方案+高绩效提成(10-50%) 高提成:客户续费产品以及总金额不等10-50%新人津贴发放一年，一年后有续费津贴也会高于(800-5000每月) 福利待遇1...,126,0.7999,similarity
迈皋桥周边房产经纪人底薪5K+提成＋包住宿（房补）。福利待遇： 1、高底薪+高提成。 试用期薪资5000元起，转正后高额提成50%+现金奖 2、公平的晋升机制。 广阔的发展空间。 经纪人—小组长- 小店长——商圈经理 3、完善的培训体系。 为所有经纪人开设新人培训、在职经纪人能力培训、储备店经理管理培训，一整套完善的培训机制。 4、福利活动。 五险一金+节日福利+国内旅游+带薪年假+红包激励 5，独特的分成制度。 无成交，无提成怎么办？完善的分成机制保驾护航。房源录入？有业绩！ 实勘维护？有业绩！售后服务？有业绩！ 工作内容： 1 .负责客户接待、咨询工作，为客户提供专业的房地产置业咨询服务； 2.了解客户需求，促成房屋买卖或租赁业务，并负责业务跟进和房屋过户手续办理等后续服务工作； 3.负责公司房源的开发与积累，并与客户建立良好的业务关系！ 任职要求： 1、18周岁到45周岁，学历不限 2、善于沟通，有较强的进取心、学习能力强、抗压能力强，不怕困难，不惧挫折； 3、高度的工作热情和团队合作意识，有销售、客户服务或学生社团干部经验者优先考虑。,0,0.8953,reject_real_estate
项目工程师（机械、汽车零部件类）。岗位职责：1. 负责汽车零部件新产品项目全周期管理，主导项目立项、开发、打样、验证、试产及PPAP提交、量产移交全流程。2. 依据IATF16949及APQP要求，组织编制DFMEA、PFMEA、控制计划、作业指导书等技术与质量文件，完成客户技术对接及图纸评审、工程变更（ECN/ECR）管控。3. 熟练使用Fatima及CAD、CATIA/UG等设计软件，完成产品结构优化、图纸绘制、BOM编制及仿...,19,0.92,similarity
